country,indicator,time_period,number,numberperc,sex,region
Albania,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.93,2%,Female,Europe
Albania,Out-of-school rate for children of primary school age (administrative data),01/01/2020,5.54,6%,Male,Europe
Antigua and Barbuda,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.87,2%,Female,Americas
Antigua and Barbuda,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.58,2%,Male,Americas
Armenia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,10.40,10%,Female,Asia
Armenia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,10.54,11%,Male,Asia
Australia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.52,2%,Female,Oceania
Australia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.40,1%,Male,Oceania
Austria,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.12,0%,Female,Europe
Austria,Out-of-school rate for children of primary school age (administrative data),01/01/2016,0.29,0%,Male,Europe
Azerbaijan,Out-of-school rate for children of primary school age (administrative data),01/01/2020,8.61,9%,Female,Asia
Azerbaijan,Out-of-school rate for children of primary school age (administrative data),01/01/2020,12.07,12%,Male,Asia
Bahrain,Out-of-school rate for children of primary school age (administrative data),01/01/2019,2.83,3%,Female,Asia
Bahrain,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.87,2%,Male,Asia
Barbados,Out-of-school rate for children of primary school age (administrative data),01/01/2020,3.35,3%,Female,Americas
Barbados,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.98,2%,Male,Americas
Belarus,Out-of-school rate for children of primary school age (administrative data),01/01/2020,6.03,6%,Female,Europe
Belarus,Out-of-school rate for children of primary school age (administrative data),01/01/2020,4.51,5%,Male,Europe
Belgium,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.47,0%,Female,Europe
Belgium,Out-of-school rate for children of primary school age (administrative data),01/01/2019,1.30,1%,Male,Europe
Belize,Out-of-school rate for children of primary school age (administrative data),01/01/2014,1.64,2%,Female,Americas
Belize,Out-of-school rate for children of primary school age (administrative data),01/01/2014,0.53,1%,Male,Americas
Benin,Out-of-school rate for children of primary school age (administrative data),01/01/2020,9.62,10%,Female,Africa
Benin,Out-of-school rate for children of primary school age (administrative data),01/01/2020,3.91,4%,Male,Africa
Bhutan,Out-of-school rate for children of primary school age (administrative data),01/01/2020,2.20,2%,Female,Asia
Bhutan,Out-of-school rate for children of primary school age (administrative data),01/01/2020,5.06,5%,Male,Asia
"Bolivia, Plurinational State of",Out-of-school rate for children of primary school age (administrative data),01/01/2020,4.69,5%,Female,Americas
"Bolivia, Plurinational State of",Out-of-school rate for children of primary school age (administrative data),01/01/2020,5.10,5%,Male,Americas
Bosnia and Herzegovina,Out-of-school rate for children of primary school age (administrative data),01/01/2018,13.35,13%,Female,Europe
Bosnia and Herzegovina,Out-of-school rate for children of primary school age (administrative data),01/01/2018,13.22,13%,Male,Europe
Botswana,Out-of-school rate for children of primary school age (administrative data),01/01/2017,8.08,8%,Female,Africa
Botswana,Out-of-school rate for children of primary school age (administrative data),01/01/2017,9.79,10%,Male,Africa
Brazil,Out-of-school rate for children of primary school age (administrative data),01/01/2015,0.58,1%,Female,Americas
Brazil,Out-of-school rate for children of primary school age (administrative data),01/01/2015,0.86,1%,Male,Americas
Brunei,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.52,2%,Female,Asia
Brunei,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.83,2%,Male,Asia
Bulgaria,Out-of-school rate for children of primary school age (administrative data),01/01/2019,14.61,15%,Female,Europe
Bulgaria,Out-of-school rate for children of primary school age (administrative data),01/01/2019,14.61,15%,Male,Europe
Burkina Faso,Out-of-school rate for children of primary school age (administrative data),01/01/2020,24.55,25%,Female,Africa
Burkina Faso,Out-of-school rate for children of primary school age (administrative data),01/01/2020,24.46,24%,Male,Africa
Burundi,Out-of-school rate for children of primary school age (administrative data),01/01/2021,8.43,8%,Female,Africa
Burundi,Out-of-school rate for children of primary school age (administrative data),01/01/2021,11.77,12%,Male,Africa
Cape Verde,Out-of-school rate for children of primary school age (administrative data),01/01/2019,8.22,8%,Female,Africa
Cape Verde,Out-of-school rate for children of primary school age (administrative data),01/01/2019,7.23,7%,Male,Africa
Cambodia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,11.07,11%,Female,Asia
Cambodia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,10.63,11%,Male,Asia
Cameroon,Out-of-school rate for children of primary school age (administrative data),01/01/2019,12.72,13%,Female,Africa
Cameroon,Out-of-school rate for children of primary school age (administrative data),01/01/2019,4.00,4%,Male,Africa
Chad,Out-of-school rate for children of primary school age (administrative data),01/01/2019,35.04,35%,Female,Africa
Chad,Out-of-school rate for children of primary school age (administrative data),01/01/2019,17.31,17%,Male,Africa
Chile,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.88,1%,Female,Americas
Chile,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.06,0%,Male,Americas
Colombia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,0.54,1%,Female,Americas
Colombia,Out-of-school rate for children of primary school age (administrative data),01/01/2020,1.85,2%,Male,Americas
Comoros,Out-of-school rate for children of primary school age (administrative data),01/01/2018,18.17,18%,Female,Africa
Comoros,Out-of-school rate for children of primary school age (administrative data),01/01/2018,18.14,18%,Male,Africa
Congo,Out-of-school rate for children of primary school age (administrative data),01/01/2018,16.33,16%,Female,Africa
Congo,Out-of-school rate for children of primary school age (administrative data),01/01/2018,14.94,15%,Male,Africa
Cook Islands,Out-of-school rate for children of primary school age (administrative data),01/01/2014,2.34,2%,Female,Oceania
Cook Islands,Out-of-school rate for children of primary school age (administrative data),01/01/2014,1.64,2%,Male,Oceania
Costa Rica,Out-of-school rate for children of primary school age (administrative data),01/01/2017,3.31,3%,Female,Americas
Costa Rica,Out-of-school rate for children of primary school age (administrative data),01/01/2017,3.19,3%,Male,Americas
Cuba,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.93,1%,Female,Americas
Cuba,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.64,1%,Male,Americas
Cyprus,Out-of-school rate for children of primary school age (administrative data),01/01/2018,0.82,1%,Female,Asia
Cyprus,Out-of-school rate for children of primary school age (administrative data),01/01/2018,0.34,0%,Male,Asia
Czech Republic,Out-of-school rate for children of primary school age (administrative data),01/01/2019,0.49,0%,Female,Europe
