country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,unit_multiplier,unit_of_measure,observation_status,observation_confidentaility,time_period_activity_related_to_when_the_data_are_collected,current_age
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2011,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2012,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2013,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2014,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2015,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2016,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2017,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2018,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2019,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2020,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2021,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2022,65.65774812046109,Total,,%,,,,Total
Afghanistan,AF,AFG,4,Proportion of schools with basic drinking water services,2023,65.65774812046109,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2011,49.25722668725848,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2012,49.25722668725848,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2013,49.25722668725848,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2014,49.25722668725848,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2015,49.25722668725848,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2016,53.33897092303869,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2017,57.42071515882072,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2018,61.50245939460092,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2019,65.58420363038294,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2020,69.66594786616315,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2021,73.74769210194334,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2022,77.82943633772538,Total,,%,,,,Total
Albania,AL,ALB,8,Proportion of schools with basic drinking water services,2023,81.91118057350559,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2010,92.18564374686463,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2011,92.18564374686463,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2012,92.18564374686463,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2013,92.18564374686463,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2014,92.18564374686463,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2015,92.06777858765298,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2016,91.94991342844136,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2017,91.83204826922972,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2018,91.71418311001807,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2019,91.59631795080645,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2020,91.47845279,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2021,91.36058763238316,Total,,%,,,,Total
Algeria,DZ,DZA,12,Proportion of schools with basic drinking water services,2022,91.24272247317154,Total,,%,,,,Total
